company,team_size,contact_name,contact_title,industry,employee_count,has_field_service,field_service_scale,icp_score,fit_level,reasoning_text,recommended_action,talking_points_text,confidence,business_model,description
GE Healthcare,1,Matt Van Holland,"GM, Service Operations,",Medical technology and healthcare equipment,"50,000",TRUE,large,95,High,"Perfect industry match - medical devices/healthcare equipment manufacturer with large-scale field service operations | Ideal company size at 50,000 employees, well above the 2000+ target threshold | Strong tech stack alignment with Salesforce and ServiceMax FSM, indicating sophisticated service operations | Global operations across 140+ countries with comprehensive field service requirements suggesting high ticket volumes",Priority outreach,Complex medical equipment diagnostics and repair processes that could benefit from 75% faster AI-driven resolutions | Global service consistency challenges across 140+ countries that AI agents could standardize and optimize | Integration capabilities with existing ServiceMax FSM and Salesforce infrastructure to enhance current operations,high,manufacturer,"GE HealthCare is a leading global medical technology company that manufactures imaging equipment, patient care solutions, and pharmaceutical diagnostics with comprehensive field service operations across 140+ countries."
Omron Corporation,1,Showkot Hassan,Global Head of Service,Industrial automation and electronic components,"26,614-30,000",TRUE,large,85,High,"Perfect industry match - industrial automation/manufacturing with heavy field service operations | Ideal company size at 26,000+ employees, well above 2000+ threshold | Global operations across 130+ countries suggests high support ticket volume | Global Head of Service attendee indicates decision-making authority for support operations",Priority outreach,"Complex industrial equipment installations and maintenance across 130 countries create massive support ticket volumes | 75% faster resolution times could dramatically reduce downtime costs for manufacturing clients relying on Omron automation systems | AI agents can provide 24/7 multilingual technical support for global operations, bridging time zone gaps between field technicians and support teams",high,manufacturer,"Omron Corporation is a Japanese electronics manufacturer specializing in industrial automation, electronic components, social systems, and healthcare equipment with global operations in over 130 countries."
Coherent Corporation,1,Norman Apfelbaum,"Global VP, Worldwide Customer Service",Optical materials and semiconductor manufacturing,"30,216",TRUE,large,85,High,"Perfect industry match - semiconductor/optical manufacturing aligns with target manufacturing vertical | Excellent company size at 30K+ employees, well above 2000+ threshold | Strong field service operations with remote diagnostics and global scale suggesting high ticket volume | Direct contact with Global VP of Customer Service indicates decision-making authority",Priority outreach,Complex technical equipment failures requiring expert diagnostics - AI agents can accelerate troubleshooting by 75% | Global field service coordination challenges - AI can provide consistent technical guidance across regions | High-value equipment downtime costs - faster resolution directly impacts customer satisfaction and revenue,high,manufacturer,"Coherent Corporation is a vertically integrated manufacturer of engineered materials, optoelectronic components, and laser systems for industrial, communications, electronics, and instrumentation markets worldwide."
IBM,15,Jessica Murillo,"COO, Technology Lifecycle Services",Information Technology and Cloud Services,"293,400",TRUE,large,75,High,"Perfect size match with 293K+ employees, far exceeding 2K+ target threshold | Large-scale field service operations with global reach across 175+ countries indicating high ticket volumes | Technology-focused industry with existing field service infrastructure (IBM Maximo) creating clear use case alignment",Priority outreach,Enhance existing IBM Maximo Field Service operations with 75% faster resolution times | Scale AI-powered support across 175+ country operations to reduce response times | Complement Watson AI capabilities with specialized technical support automation for field services,high,service_provider,"IBM is a multinational technology company that provides integrated software, consulting, cloud, and AI solutions across 175+ countries."
Siemens Smart Infrastructure,1,Brad Haeberle,"EVP, Services",Industrial automation and smart infrastructure solutions,"78,500",TRUE,large,75,High,"Perfect size match with 78,500+ employees, well above 2000+ target threshold | Strong industry alignment - industrial automation/manufacturing fits core ICP verticals | Large-scale global field service operations with Microsoft Dynamics 365 Field Service infrastructure | High-level contact (EVP Services) indicates decision-making authority for field service optimization",Priority outreach,Complex industrial equipment requires expert technicians - AI agents can accelerate knowledge transfer and reduce resolution times | Global operations mean 24/7 support needs - AI agents provide instant expertise across time zones | Microsoft Dynamics 365 integration capabilities can enhance existing field service workflows with AI-powered support,high,manufacturer,"Siemens Smart Infrastructure combines real and digital worlds to create intelligent, adaptive infrastructure solutions for buildings, energy systems, and industries."
Accuray,1,Todd Brown,"SVP, Global Commercial Operations and Service",Medical Equipment Manufacturing,987-1200,TRUE,large,72,Medium,"Strong industry fit - medical device manufacturing matches target ICP perfectly | Employee count (987-1200) meets minimum threshold but below ideal 2000+ | Large-scale global field service operations for complex medical equipment likely generate high ticket volumes | Missing key tech stack integrations (no ServiceNow, Salesforce, SAP Field Service, or Zendesk detected) | High-value contact - SVP Global Commercial Operations and Service is ideal decision maker for field service solutions",Priority outreach,Complex medical device troubleshooting and maintenance creates lengthy resolution times that AI agents can dramatically reduce | Global service operations for radiation oncology systems likely handle 1000+ monthly critical support tickets | 75% faster resolutions critical for medical equipment where downtime directly impacts patient care and treatment schedules,high,manufacturer,Accuray is a leading manufacturer of radiation oncology systems including CyberKnife and TomoTherapy platforms that deliver precise cancer treatments worldwide.
Premistar,1,Anthony Billups,President,"Commercial HVAC, plumbing, and building automation services",2800+,TRUE,large,70,Medium,Employee count (2800+) exceeds minimum threshold and matches ideal size profile | Large-scale field service operations across 57 branches in 16 states indicates high ticket volume | Tech stack shows basic marketing tools but lacks enterprise service management platforms like ServiceNow or Salesforce Service Cloud | Industry (commercial HVAC/building automation) has technical complexity suitable for AI support but not core target vertical | President attendance shows decision-maker access but single attendee suggests lower conference investment,Booth approach,Managing technical support across 57 locations likely creates consistency and knowledge transfer challenges | AI agents can provide instant access to HVAC/building automation technical expertise across all branches | 75% faster resolution times could significantly improve customer satisfaction for critical building system failures,high,service_provider,"PremiStar (formerly Reedy Industries) is a nationwide network of commercial HVAC, building controls and plumbing experts operating 57 branches across 16 states."
TridentCare,,Kyle Seiter,Chief Information Officer,Portable Clinical Diagnostic Services,"1,500",TRUE,large,65,Medium,"Strong fit on size (1,500 employees) and has large-scale field service operations nationwide | Healthcare adjacent industry with complex diagnostic equipment requiring technical support | Missing key tech stack indicators (ServiceNow, Salesforce, SAP) - uses NaviNet, Outlook, APS instead | CIO contact is ideal decision maker for AI infrastructure investments",Booth approach,"Reducing diagnostic equipment downtime through faster technical issue resolution | 75% faster support for critical medical devices ensuring patient care continuity | AI agents can handle complex multi-vendor equipment support across 1,500+ mobile units",high,service_provider,"Leading provider of mobile bedside diagnostic services including imaging, laboratory, ultrasound, and clinical services delivered at patient locations nationwide."
Impel Companies,,Adam Gloss,Chief Operating Officer,unknown,,FALSE,,15,Low,"Industry unknown with low confidence research data | No confirmed field service operations | Insufficient data on company size, tech stack, or ticket volume | No attendees at conference to engage with directly",Research more,Operational efficiency improvements for technical operations | 75% faster resolution times reducing operational costs | AI automation for scaling support operations,low,,
Biotronics3D,,Tanya Singh,Chief Commercial Officer,Healthcare Software/Medical Imaging,23-40,FALSE,none,15,Low,"Company size (23-40 employees) is significantly below minimum ICP threshold of 500+ employees | No field service operations identified - appears to be purely software/cloud service provider | Tech stack lacks target platforms (ServiceNow, Salesforce, SAP Field Service, Zendesk) - uses basic web technologies | Unlikely to have 1000+ monthly support tickets given small company size and business model",Skip,Customer support optimization for medical imaging software clients | AI-powered technical troubleshooting for PACS/RIS systems | Automated resolution of common teleradiology platform issues,high,service_provider,Cloud-based medical imaging software provider offering 3Dnet Enterprise Suite for diagnostic imaging and teleradiology services.
